Answer_original,Score_original,Score_final,score_difference
"SELECT Album.title, SUM(Track.duration) FROM Album, Track WHERE Album.album_id = Track.album_id GROUP BY Album.title;",1.0,1.0,0.0
"SELECT Album.title, SUM(Track.duration) FROM Album, Track WHERE Album.album_id=Track.album_id GROUP BY Album.title;",1.0,1.0,0.0
"SELECT A.title, SUM(T.duration) AS total_duration FROM Album A, Track T WHERE T.album_id = A.album_id GROUP BY album_id;",0.0,0.25,0.25
"SELECT title, album_duration FROM Album, Track WHERE SUM(duration) AS album_duration AND Track.album_id = Album.album_id",0.0,0.0,0.0
"SELECT Album.title, SUM(Track.duration) FROM Track NATURAL JOIN Album GROUP BY Album.title;",1.0,1.0,0.0
"SELECT A.title, SUM(T.duration) FROM Album A, Track T WHERE A.album_id = T.album_id GROUP BY A.title;",1.0,1.0,0.0
"SELECT Album.title,SUM(Track.duration) FROM Album,Track WHERE Album.album_id=Track.album_id GROUP BY Album.title;",1.0,1.0,0.0
"SELECT Album.title, SUM(Track.duration) FROM Album, Track WHERE Album.album_id=Track.album_id;",0.0,0.25,0.25
"SELECT  title, SUM(duration)  FROM Track T, Album A  WHERE T.album_id = A.album_id ;",0.0,0.25,0.25
"SELECT A.title, SUM(T.duration) FROM Album A, Track T WHERE A.album_id=T.album_id GROUP BY T.album_id;",1.0,0.25,-0.75
"SELECT Album.title, SUM(Track.duration) FROM Album, Track WHERE Album.album_id=Track.album_id GROUP BY Album.title;",1.0,1.0,0.0
"SELECT title, SUM(duration) FROM Track JOIN Album ON Track.album_id = Album.album_id GROUP BY album_id;",0.8,0.25,-0.55
"SELECT title, SUM(duration) FROM Track, Album WHERE Track.album_id = Album.album_id;",0.0,0.25,0.25
"SELECT title, SUM(duration) FROM Track, Album WHERE Track.album_id = Album.album_id GROUP BY title;",1.0,1.0,0.0
"SELECT title, SUM(duration) FROM Album a, Track t WHERE a.album_id = t.album_id GROUP BY title;",1.0,1.0,0.0
"SELECT Album.title, SUM(Track.duration) FROM Album, Album AS Album2(album_id2, title2), Track WHERE Album.album_id=Track.album_id AND Album.album_id = Album2.album_id2;",0.0,0.25,0.25
"SELECT title, SUM(duration) as total_duration FROM Track t JOIN Album a ON(t.album_id= a.album_id) GROUP BY album_id;",0.0,0.25,0.25
"SELECT Album.Title, SUM(duration)  FROM Track, Album WHERE Track.album_id = Album.album_id;",0.0,0.25,0.25
"SELECT titel,SUM(duration) FROM Album,Track WHERE Track.album_id = Album.album_id GROUP BY title",0.0,0.25,0.25
"SELECT a.title, SUM(t.duration) FROM Track t, Album a WHERE a.album_id=t.album_id;",0.0,0.25,0.25
"SELECT Album.title, SUM(Track.duration) FROM Album NATURAL JOIN Track GROUP BY album_id;  -- group by album_id so that two album's with the same title don't show up as one album with their durations together in one total",1.0,0.25,-0.75
"SELECT Album.title, SUM(Track.duration) FROM Album, Track WHERE Album.album_id = Track.album_id GROUP BY Album.title ;",1.0,1.0,0.0
"SELECT A.title, SUM(T.duration)  FROM Album A  NATURAL JOIN Track T GROUP BY A.album_id;",1.0,0.25,-0.75
"SELECT A.title, SUM(T.duration) FROM Album A, Track T WHERE A.album_id = T.album_id GROUP BY A.title;",1.0,1.0,0.0
"SELECT title, SUM(duration) FROM Track GROUP BY album_id;",0.0,0.25,0.25
"SELECT A.title, SUM(T.duration) FROM Track T RIGHT JOIN Album A ON A.album_id = T.album_id GROUP BY A.title;",1.0,1.0,0.0
"SELECT Album.title, SUM(Track.duration) FROM Album NATURAL JOIN Track GROUP BY Album.title;",1.0,1.0,0.0
"SELECT Album.title, SUM(Track.duration) FROM Track, Album WHERE Track.album_id = Album.album_id GROUP BY Album.title;",1.0,1.0,0.0
"SELECT A.title, SUM(T.duration) AS total  FROM Track T, Album A  WHERE T.album_id=A.album_id  GROUP BY A.title;",1.0,1.0,0.0
"SELECT Album.title, SUM(Track.duration) FROM Album, Track WHERE Track.album_id = Album.album_id GROUP BY Album.album_id;",1.0,0.25,-0.75
"SELECT A.title, SUM(T.duration) AS total FROM Track T, Album A WHERE A.album_id = T.album_id GROUP BY A.title HAVING SUM(T.duration);",1.0,1.0,0.0
"SELECT A.title, SUM(T.duration) AS duration FROM Track T, Album A WHERE T.album_id=A.album_id GROUP BY album_id;",0.0,0.25,0.25
"SELECT title, SUM(duration)  FROM Track, Album  WHERE Track.album_id = Album.album_id  GROUP BY title;",1.0,1.0,0.0
"SELECT Album.title, SUM(Track.duration) FROM Album, Track WHERE Album.album_id = Track.album_id GROUP BY Album.title;",1.0,1.0,0.0
